Name,Address,Description
The Rabbit Hole,838 Oretha Castle Haley Blvd New Orleans LA,Saturday night · dance bar til 4am · 8 min walk from Airbnb
The Country Club — Drag Brunch,634 Louisa St New Orleans LA,Sunday 1pm · drag brunch · prepaid via OpenTable
Turkey & Wolf,739 Jackson Ave New Orleans LA,Sunday lunch option · iconic sandwiches
Willa Jean,611 O'Keefe Ave New Orleans LA,Sunday lunch option · CBD · bakery-forward
Peche Seafood Grill,800 Magazine St New Orleans LA,Sunday dinner option · James Beard winner · wood-fired Gulf seafood
Gris-Gris,1800 Magazine St New Orleans LA,Sunday dinner option · upscale Southern Creole · 15 min walk from Airbnb
Oz New Orleans,800 Bourbon St New Orleans LA,Sunday night clubs · drag shows · dance floor · Bourbon St balcony
Café Lafitte in Exile,901 Bourbon St New Orleans LA,Sunday night clubs · oldest gay bar in America · no cover ever
French Market,1235 N Peters St New Orleans LA,Sunday afternoon · crystal + voodoo shopping · French Quarter
Belladonna Day Spa,2900 Magazine St New Orleans LA,Monday spa option · Magazine St · dry sauna included
The Court of Two Sisters,613 Royal St New Orleans LA,Monday dinner option · courtyard Creole & jazz · French Quarter
Cafe Amelie,912 Royal St New Orleans LA,Monday dinner option · candlelit courtyard · French Quarter
Compere Lapin,535 Tchoupitoulas St New Orleans LA,Monday dinner option · Michelin recognized · Caribbean Creole
Ghost Tour Meeting Point,400 Bourbon St New Orleans LA,Monday 8pm · Ghost Crime Voodoo & Vampire Tour · VIP HELLVISION
Bayou Bar — Pontchartrain Hotel,2031 St Charles Ave New Orleans LA,Nightcap option · dark + live jazz
Frenchmen Street,600 Frenchmen St New Orleans LA,Nightcap option · live jazz · no cover
Arnaud's,813 Bienville St New Orleans LA,Saturday dinner option · white tablecloth French Quarter classic
Dickie Brennan's Bourbon House,144 Bourbon St New Orleans LA,Saturday dinner option · bourbon bar
Airboat Swamp Tour — Westwego,967 Lafayette St Westwego LA,Monday morning · airboat + gator marshmallow feeding
The Rum House,3128 Magazine St, New Orleans, LA,Caribbean-Mexican fusion concept and rum
