Name,Address,Description
2012 Oretha Castle Haley Blvd — Airbnb,"2012 Oretha Castle Haley Blvd, New Orleans, LA 70113",HOME BASE · Private pool · teal mural wall · Check-in Oct 3 3pm · Checkout Oct 6 11am
Felix's Restaurant & Oyster Bar,"739 Iberville St, New Orleans, LA 70130",FOOD · Seafood/Oysters · Bar crawl stop · Saturday · ~$20–35pp
Arnaud's,"813 Bienville St, New Orleans, LA 70112",FOOD · French Creole · Saturday dinner option · white tablecloth · ~$100pp
Dickie Brennan's Bourbon House,"144 Bourbon St, New Orleans, LA 70130",FOOD/BAR · Saturday · bourbon bar after dinner option · ~$30pp drinks
Turkey & Wolf,"739 Jackson Ave, New Orleans, LA 70130",FOOD · Sandwiches · Sunday lunch option · walkable · ~$25pp
Willa Jean,"611 O'Keefe Ave, New Orleans, LA 70113",FOOD · Bakery/American · Sunday lunch option · CBD · ~$35pp
The Rum House,"3128 Magazine St, New Orleans, LA 70115",FOOD · Caribbean-Mexican · Sunday dinner option · walkable · ~$30pp
Peche Seafood Grill,"800 Magazine St, New Orleans, LA 70130",FOOD · Seafood · Sunday dinner option · James Beard winner · ~$60pp
Gris-Gris,"1800 Magazine St, New Orleans, LA 70130",FOOD · Southern Creole · Sunday dinner option · ~$70pp · 15 min walk
Atchafalaya,"901 Louisiana Ave, New Orleans, LA 70115",FOOD · Southern/Brunch · Grace rec · Garden District · ~$20–70pp
Cane and Table,"1113 Decatur St, New Orleans, LA 70116",FOOD · Rum Bar/Caribbean · Grace rec · French Quarter · ~$40–90pp
Bésame,"4601 Freret St, New Orleans, LA 70115",FOOD · Latin American · Grace rec · Uptown · ~$20–30pp
Brennan's,"417 Royal St, New Orleans, LA 70130",FOOD · French Creole/Brunch · Grace rec · French Quarter · ~$50–100pp
GW Fins,"808 Bienville St, New Orleans, LA 70112",FOOD · Seafood · Grace rec · French Quarter · 4.8★ · ~$50–100pp
Muriel's Jackson Square,"801 Chartres St, New Orleans, LA 70116",FOOD · Creole · Monday dinner option · haunted restaurant · steps from ghost tour · ~$95pp · BOOK: (504) 568-1885
Cafe Amelie,"912 Royal St, New Orleans, LA 70116",FOOD · French Creole · Monday dinner option · candlelit courtyard · ~$65pp
Compere Lapin,"535 Tchoupitoulas St, New Orleans, LA 70130",FOOD · Caribbean Creole · Monday dinner option · Michelin recognized · ~$65pp
Angelo Brocato,"214 N Carrollton Ave, New Orleans, LA 70119",FOOD · Ice Cream/Italian · Grace rec · Mid-City · gelato + cannoli · ~$5–15pp
Sacred Grinds Coffee House,"4605 Magazine St, New Orleans, LA 70115",FOOD · Coffee · Grace rec · Magazine St · morning fuel · ~$5–10pp
Café Du Monde – City Park,"City Park, New Orleans, LA",FOOD · Coffee/Beignets · Grace rec · City Park location · ~$5–15pp
Lula Restaurant Distillery,"1532 St Charles Ave, New Orleans, LA 70130",FOOD · Distillery/Cocktails · Grace rec · KASSIE PICK: fresh hurricanes · ~$20–30pp
The Country Club — Drag Brunch,"634 Louisa St, New Orleans, LA 70117",ACTIVITY · Drag Brunch · Sunday Oct 4 1pm · BOOK NOW: (504) 832-1930 · ~$65pp · KASSIE PICK #1
Bottom of the Cup Tea Room,"732 Royal St, New Orleans, LA 70116",ACTIVITY · Tea Leaf/Tarot Reading · Monday · private group reading · ~$35pp est. · KASSIE PICK #2
French Market,"1235 N Peters St, New Orleans, LA 70116",ACTIVITY · Shopping · Monday · crystals · voodoo dolls · spell candles · free to browse
Airboat Swamp Tour — Westwego,"967 Lafayette St, Westwego, LA 70094",ACTIVITY · Swamp Tour · Monday morning · $67pp + $10 Uber · book Viator 4–6 wks out
Ghost Tour Meeting Point — VIP HELLVISION,"400 Bourbon St, New Orleans, LA 70130",ACTIVITY · Ghost Tour (Walking) · Monday 8pm · $44pp · BOOK NOW on Viator · KASSIE PICK #3
Ghost Bar Crawl — New Orleans,"French Quarter, New Orleans, LA",ACTIVITY · Ghost Tour (Bar Crawl) · Monday evening · vote vs walking tour · ~$25–40pp
Belladonna Day Spa,"2900 Magazine St, New Orleans, LA 70115",ACTIVITY · Spa · Monday morning option · walking distance · ~$75pp
Spa Isbell,"4518 Magazine St, New Orleans, LA 70115",ACTIVITY · Spa · Sunday morning option · walking distance · ~$100pp
The Sazerac House,"101 Magazine St, New Orleans, LA 70130",ACTIVITY · Museum/Distillery · Grace rec · free entry · cocktail history · CBD
The Rabbit Hole,"838 Oretha Castle Haley Blvd, New Orleans, LA 70113",NIGHTLIFE · Dance Bar · Saturday late night · 8 min walk from Airbnb · open til 4am Sat
